# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 197
#
# Samples: 2K of event 'cycles:ppp'
# Event count (approx.): 34805110900
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................
#
     0.00%  java             [unknown]            [k] 0xffffffffa158c4ef
     0.00%  java             libjvm.so            [.] InstanceKlass::set_package
     0.00%  java             [unknown]            [k] 0xffffffffa103aa8d
     0.00%  C2 CompilerThre  libjvm.so            [.] Node::clone
     0.00%  java             libjvm.so            [.] SystemDictionaryShared::check_linking_constraints
     0.00%  C2 CompilerThre  [unknown]            [k] 0xffffffffa0ec9733
     0.00%  java             [unknown]            [k] 0xffffffffa119d8d5
     0.00%  C1 CompilerThre  libc-2.17.so         [.] _IO_default_xsputn
     0.00%  java             libjvm.so            [.] metaspace::MetaspaceArena::allocate
     0.00%  java             [unknown]            [k] 0xffffffffa1042c62
     0.00%  java             [unknown]            [k] 0xffffffffc0bc3d3f
     0.00%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     0.00%  C1 CompilerThre  [unknown]            [k] 0xffffffffa13c6ae2
     0.00%  C2 CompilerThre  libjvm.so            [.] ciField::ciField
     0.00%  java             [unknown]            [k] 0xffffffffc05ee000
     0.00%  C2 CompilerThre  libjvm.so            [.] Matcher::find_shared
     0.00%  java             [unknown]            [k] 0xffffffffa0ff9cbb
     0.00%  java             libjvm.so            [.] RegisterSaver::save_live_registers
     0.00%  C2 CompilerThre  libjvm.so            [.] TypeNarrowOop::isa_same_narrowptr
     0.00%  java             libjvm.so            [.] AllocateHeap
     0.00%  java             libc-2.17.so         [.] vfprintf
     0.00%  java             [unknown]            [k] 0xffffffffa0ec96e5
     0.00%  java             [unknown]            [k] 0xffffffffa1192396
     0.00%  java             libc-2.17.so         [.] __GI___munmap
     0.00%  java             libjvm.so            [.] Metaspace::allocate
     0.00%  java             [unknown]            [k] 0xffffffffa1590946
     0.00%  java             libjvm.so            [.] AdapterHandlerLibrary::get_simple_adapter
     0.00%  java             libjvm.so            [.] InstanceKlass::initialize
     0.00%  java             libjvm.so            [.] KlassDepChange::initialize
     0.00%  java             libjvm.so            [.] _GLOBAL__sub_I_g1RootProcessor.cpp
     0.00%  java             libjvm.so            [.] InstanceKlass::find_local_field
     0.00%  java             libc-2.17.so         [.] _itoa_word
     0.00%  java             [unknown]            [k] 0xffffffffa106f610
     0.00%  java             libpthread-2.17.so   [.] __lll_unlock_wake
     0.00%  java             [unknown]            [k] 0xffffffffa119420b
     0.00%  java             [unknown]            [k] 0xffffffffa0fc0edf
     0.00%  java             [unknown]            [k] 0xffffffffa0fc5b8d
     0.00%  java             [unknown]            [k] 0xffffffffa1026092
     0.00%  java             libjvm.so            [.] CompilationPolicy::compile_if_required
     0.00%  java             [unknown]            [k] 0xffffffffa0fee7aa
     0.00%  java             [unknown]            [k] 0xffffffffa1595f85
     0.00%  java             [unknown]            [k] 0xffffffffa0fcd729
     0.00%  java             [unknown]            [k] 0xffffffffa119d8b7
     0.00%  java             [unknown]            [k] 0xffffffffa103a94f
     0.00%  java             libjvm.so            [.] CodeHeap::mark_segmap_as_used
     0.00%  java             [unknown]            [k] 0xffffffffa0ff0e30
     0.00%  java             [unknown]            [k] 0xffffffffa0ff1233
     0.00%  java             [unknown]            [k] 0xffffffffa1595e66
     0.00%  java             libjvm.so            [.] ObjArrayKlass::array_klass
     0.00%  java             [unknown]            [k] 0xffffffffa15960b6
     0.00%  java             [unknown]            [k] 0xffffffffa1026e96
     0.00%  java             [unknown]            [k] 0xffffffffa0fbd936
     0.00%  java             [unknown]            [k] 0xffffffffa0ff5c71
     0.00%  java             [unknown]            [k] 0xffffffffa158c45d
