# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 17
#
# Samples: 831  of event 'cycles:ppp'
# Event count (approx.): 1669426878
#
# Overhead  Command  Shared Object       Symbol                                                             
# ........  .......  ..................  ...................................................................
#
     0.03%  java     libjvm.so           [.] nmethod::print_code_comment_on
     0.03%  java     [unknown]           [k] 0xffffffffc0810486
     0.03%  java     [unknown]           [k] 0xffffffffc07e3d50
     0.03%  java     [unknown]           [k] 0xffffffffa101cc27
     0.03%  java     libjvm.so           [.] AddressLiteral::AddressLiteral
     0.03%  java     [unknown]           [k] 0xffffffffa104e52a
     0.03%  java     [unknown]           [k] 0xffffffffc0813db0
     0.03%  java     [unknown]           [k] 0xffffffffc08195bf
     0.03%  java     [unknown]           [k] 0xffffffffa1590528
     0.03%  java     [unknown]           [k] 0xffffffffa10417c0
     0.03%  java     libpthread-2.17.so  [.] start_thread
     0.03%  java     [unknown]           [k] 0xffffffffa11092bb
     0.03%  java     libjvm.so           [.] Assembler::emit_operand
     0.03%  java     [unknown]           [k] 0xffffffffa0ff5c1c
     0.03%  java     [unknown]           [k] 0xffffffffa118e453
     0.03%  java     [unknown]           [k] 0xffffffffa158ca5b
     0.03%  java     [unknown]           [k] 0xffffffffa0ff6182
     0.03%  java     [unknown]           [k] 0xffffffffa0fcd4bd
     0.03%  java     [unknown]           [k] 0xffffffffa158ca7e
     0.03%  java     perf-10747.map      [.] 0x00007f1948e0981b
     0.03%  java     perf-10747.map      [.] 0x00007f1948df5c02
     0.03%  java     perf-10747.map      [.] 0x00007f1948dfd48f
     0.03%  java     perf-10747.map      [.] 0x00007f1948dfe2c7
     0.03%  java     [unknown]           [k] 0xffffffffa0ed4b13
     0.03%  java     [unknown]           [k] 0xffffffffa1595e69
     0.03%  java     perf-10747.map      [.] 0x00007f1948dfb8c0
     0.03%  java     [unknown]           [k] 0xffffffffa0ec6d48
     0.03%  java     [unknown]           [k] 0xffffffffa0feffd8
     0.03%  java     [unknown]           [k] 0xffffffffa0fbd950
     0.03%  java     perf-10747.map      [.] 0x00007f1948e02568
     0.03%  java     [unknown]           [k] 0xffffffffa118dc55
     0.03%  java     [unknown]           [k] 0xffffffffa11b1cfd
     0.03%  java     [unknown]           [k] 0xffffffffa118dcca
     0.03%  java     libc-2.17.so        [.] __strncpy_sse2_unaligned
     0.03%  java     [unknown]           [k] 0xffffffffc08080b3
     0.03%  java     [unknown]           [k] 0xffffffffa0fbe406
     0.03%  java     perf-10747.map      [.] 0x00007f1948e090f5
     0.03%  java     [unknown]           [k] 0xffffffffa1595f7c
     0.03%  java     [unknown]           [k] 0xffffffffa1595fab
     0.03%  java     libjvm.so           [.] CodeCache::reverse_free_ratio
     0.03%  java     libjvm.so           [.] LIR_OpVisitState::do_input
